,grouptitle,MainM3U8ip,child_m3ips,.ts ips,status,HLS status,ASN_m3u8,ASN_childm3,ASN_ts,HOST_m3u8
 TV Cosmos,"['""PERU"", TV Cosmos']",[],['NONE'],[],Error,,[],['NONE'],[],
13 Max,"['""ARGENTINA"",13 Max']",[],['NONE'],[],Error,,[],['NONE'],[],
5TV Corrientes,"['""ARGENTINA"",5TV Corrientes']",[],['NONE'],[],Error,,[],['NONE'],[],
AM Canal,"['""CHILE"",AM Canal']",['138.117.149.80'],['NONE'],"[['138.117.149.80'], ['138.117.149.80'], ['138.117.149.80']]","Whois lookup failed for 138.117.149.80. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
ATB TV,"['""ARGENTINA"",ATB TV']",[],['NONE'],[],Error,,[],['NONE'],[],
Acento TV,"['""DOMINICAN REPUBLIC"",Acento TV']",['63.141.241.238'],['NONE'],"[['63.141.241.238'], ['63.141.241.238'], ['63.141.241.238']]",NONE,no,['AS33387'],['NONE'],"['AS33387', 'AS33387', 'AS33387']",cant reverse lookup
Aire de Santa Fe,"['""ARGENTINA"",Aire de Santa Fe']",[],['NONE'],[],Error,,[],['NONE'],[],
Antares TV,"['""PERU"",Antares TV']",[],['NONE'],[],Error,,[],['NONE'],[],
Argentinisima Satelital (New!),"['""ARGENTINA"",Argentinisima Satelital (New!)']",[],['NONE'],[],Error,,[],['NONE'],[],
Atlantica Video Cable,"['""ARGENTINA"",Atlantica Video Cable']",['190.122.158.7'],['NONE'],[],"Whois lookup failed for 190.122.158.7. Rate limit exceeded, wait and try again (possibly a temporary block).",,['NONE'],['NONE'],['NONE'],
BHtv (Opt-1),"['""PERU"",BHtv (Opt-1)']",[],['NONE'],[],Error,,[],['NONE'],[],
BHtv (Opt-2),"['""PERU"",BHtv (Opt-2)']",[],['NONE'],[],Error,,[],['NONE'],[],
Bellavision 8,"['""DOMINICAN REPUBLIC"",Bellavision 8']",[],['NONE'],[],Error,,[],['NONE'],[],
Bonao TV Canal 12,"['""DOMINICAN REPUBLIC"",Bonao TV Canal 12']",[],['NONE'],[],Error,,[],['NONE'],[],
CDtv,"['""CHILE"",CDtv']",['45.226.171.100'],['NONE'],"[['45.226.171.100'], ['45.226.171.100'], ['45.226.171.100']]",ASN registry lookup failed. Permutations not allowed.,no,['NONE'],['NONE'],['NONE'],
CN 24/7,"['""ARGENTINA"",CN 24/7']",[],['NONE'],[],Error,,[],['NONE'],[],
CTC TV Cusco,"['""PERU"",CTC TV Cusco']",[],['NONE'],[],Error,,[],['NONE'],[],
Cadena Sudeste TV,"['""ARGENTINA"",Cadena Sudeste TV']",['45.43.200.122'],{'45.43.200.122'},[['45.43.200.122']],NONE,no,['AS46261'],['AS46261'],['AS46261'],cant reverse lookup
Cali TV,"['""COLOMBIA"",Cali TV']",['167.114.170.183'],{'167.114.170.183'},[['167.114.170.183']],NONE,no,['AS16276'],['AS16276'],['AS16276'],"('vbox.cehis.net', [], ['167.114.170.183'])"
Campo Abierto TV Huechuraba,"['""CHILE"",Campo Abierto TV Huechuraba']",['138.117.149.80'],{'138.117.149.80'},[['138.117.149.80']],"Whois lookup failed for 138.117.149.80. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
Canal 10 Cordoba (Opt-1) (New!),"['""ARGENTINA"",Canal 10 Cordoba (Opt-1) (New!)']",['23.194.130.137'],['NONE'],"[['23.194.130.137'], ['23.194.130.137'], ['23.194.130.137']]",NONE,no,['AS20940'],['NONE'],"['AS20940', 'AS20940', 'AS20940']","('a23-194-130-137.deploy.static.akamaitechnologies.com', [], ['23.194.130.137'])"
Canal 10 Cordoba (Opt-2) (New!),"['""ARGENTINA"",Canal 10 Cordoba (Opt-2) (New!)']",['23.194.130.137'],{'23.194.130.137'},[],Error,,['AS20940'],['AS20940'],[],"('a23-194-130-137.deploy.static.akamaitechnologies.com', [], ['23.194.130.137'])"
Canal 10 General Roca (New!),"['""ARGENTINA"",Canal 10 General Roca (New!)']",['66.70.179.145'],['NONE'],"[['66.70.179.145'], ['66.70.179.145'], ['66.70.179.145']]",NONE,no,['AS16276'],['NONE'],"['AS16276', 'AS16276', 'AS16276']","('ns548900.ip-66-70-179.net', [], ['66.70.179.145'])"
Canal 10 Rio Negro,"['""ARGENTINA"",Canal 10 Rio Negro']",[],['NONE'],[],Error,,[],['NONE'],[],
Canal 11 Aysen,"['""CHILE"",Canal 11 Aysen']",['138.117.149.80'],['NONE'],[],"Whois lookup failed for 138.117.149.80. Rate limit exceeded, wait and try again (possibly a temporary block).",,['NONE'],['NONE'],['NONE'],
Canal 11 Cabrero,"['""CHILE"",Canal 11 Cabrero']",[],['NONE'],[],Error,,[],['NONE'],[],
Canal 17 Milenium Salta,"['""ARGENTINA"",Canal 17 Milenium Salta']",['66.70.179.145'],{'66.70.179.145'},[['66.70.179.145']],NONE,no,['AS16276'],['AS16276'],['AS16276'],"('ns548900.ip-66-70-179.net', [], ['66.70.179.145'])"
