,grouptitle,MainM3U8ip,child_m3ips,.ts ips,status,HLS status,ASN_m3u8,ASN_childm3,ASN_ts,HOST_m3u8
RT Documentary (Opt-1),"['""USA"",RT Documentary (Opt-1)']",['8.253.156.40'],['NONE'],"[['8.253.156.40', '8.253.131.91'], ['8.253.156.40', '8.253.131.91'], ['8.253.156.40', '8.253.131.91']]",NONE,no,['AS3356'],['NONE'],"['AS3356', 'AS3356', 'AS3356']",cant reverse lookup
RT Documentary (Opt-2),"['""USA"",RT Documentary (Opt-2)']",['92.43.140.249'],{'92.43.140.249'},"[['92.43.140.249'], ['92.43.140.249'], ['92.43.140.249']]",NONE,no,['AS44395'],['AS44395'],"['AS44395', 'AS44395', 'AS44395']","('host-249.140.43.92.ucom.am', [], ['92.43.140.249'])"
Radio U,"['""USA"",Radio U']",[],['NONE'],[],Error,,[],['NONE'],[],
Red Bull TV (Opt-1),"['""USA"",Red Bull TV (Opt-1)']",['23.194.118.68'],{'23.221.72.40'},"[['23.221.72.40'], ['23.221.72.40'], ['23.221.72.40'], ['23.221.72.40'], ['23.221.72.40'], ['23.221.72.40']]",NONE,no,['AS7922'],['AS20940'],"['AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940']","('a23-194-118-68.deploy.static.akamaitechnologies.com', [], ['23.194.118.68'])"
Red Bull TV (Opt-2),"['""USA"",Red Bull TV (Opt-2)']",['23.221.72.40'],['NONE'],"[['23.221.72.40'], ['23.221.72.40'], ['23.221.72.40']]",NONE,no,['AS20940'],['NONE'],"['AS20940', 'AS20940', 'AS20940']","('a23-221-72-40.deploy.static.akamaitechnologies.com', [], ['23.221.72.40'])"
Red Bull TV (UHD),"['""USA"",Red Bull TV (UHD)']",['23.221.72.40'],['NONE'],"[['23.221.72.40'], ['23.221.72.40'], ['23.221.72.40']]",NONE,no,['AS20940'],['NONE'],"['AS20940', 'AS20940', 'AS20940']","('a23-221-72-40.deploy.static.akamaitechnologies.com', [], ['23.221.72.40'])"
Regalia TV,"['""USA"",Regalia TV']",['66.165.242.218'],{'66.165.242.218'},[['66.165.242.218']],NONE,no,['AS29802'],['AS29802'],['AS29802'],"('66-165-242-218.static.hvvc.us', [], ['66.165.242.218'])"
Rev'n,"['""USA"",Rev\'n']",['23.194.130.152'],{'23.194.130.152'},[['23.194.130.152']],NONE,no,['AS20940'],['AS20940'],['AS20940'],"('a23-194-130-152.deploy.static.akamaitechnologies.com', [], ['23.194.130.152'])"
Right Now TV,"['""USA"",Right Now TV']",['66.165.242.218'],{'66.165.242.218'},[['66.165.242.218']],NONE,no,['AS29802'],['AS29802'],['AS29802'],"('66-165-242-218.static.hvvc.us', [], ['66.165.242.218'])"
Runway TV,"['""USA"",Runway TV']",['108.61.130.82'],['NONE'],"[['108.61.130.82'], ['108.61.130.82'], ['108.61.130.82']]",NONE,no,['AS20473'],['NONE'],"['AS20473', 'AS20473', 'AS20473']","('108-61-130-82.choopa.net', [], ['108.61.130.82'])"
SEC Network,"['""USA"",SEC Network']",['104.31.7.163'],['NONE'],[],Error,,['AS13335'],['NONE'],[],cant reverse lookup
SafeTV4U2,"['""USA"",SafeTV4U2']",[],['NONE'],[],Error,,[],['NONE'],[],
Sci-fi 4U,"['""USA"",Sci-fi 4U']",['66.165.242.218'],{'66.165.242.218'},[['66.165.242.218']],NONE,no,['AS29802'],['AS29802'],['AS29802'],"('66-165-242-218.static.hvvc.us', [], ['66.165.242.218'])"
Screamfest,"['""USA"",Screamfest']",['64.62.199.72'],['NONE'],"[['64.62.199.72'], ['64.62.199.72'], ['64.62.199.72']]",NONE,no,['AS6939'],['NONE'],"['AS6939', 'AS6939', 'AS6939']",cant reverse lookup
She TV,"['""USA"",She TV']",['66.165.242.218'],{'66.165.242.218'},[['66.165.242.218']],NONE,no,['AS29802'],['AS29802'],['AS29802'],"('66-165-242-218.static.hvvc.us', [], ['66.165.242.218'])"
Shop LC,"['""USA"",Shop LC']",['52.84.129.164'],{'52.84.129.164'},"[['52.84.129.45', '52.84.129.164'], ['52.84.129.164'], ['52.84.129.164'], ['52.84.129.164'], ['52.84.129.164']]",NONE,no,['AS16509'],['AS16509'],"['AS16509', 'AS16509', 'AS16509', 'AS16509', 'AS16509']","('server-52-84-129-164.iad16.r.cloudfront.net', [], ['52.84.129.164'])"
Shopping 4U,"['""USA"",Shopping 4U']",['66.165.242.218'],{'66.165.242.218'},[['66.165.242.218']],NONE,no,['AS29802'],['AS29802'],['AS29802'],"('66-165-242-218.static.hvvc.us', [], ['66.165.242.218'])"
Sidewalks,"['""USA"",Sidewalks']",['142.54.172.51'],['NONE'],"[['142.54.172.52'], ['142.54.172.52'], ['142.54.172.52']]",NONE,no,['AS33387'],['NONE'],"['AS33387', 'AS33387', 'AS33387']",cant reverse lookup
Sign Me TV,"['""USA"",Sign Me TV']",['64.62.199.72'],['NONE'],"[['64.62.199.72'], ['64.62.199.72'], ['64.62.199.72']]",NONE,no,['AS6939'],['NONE'],"['AS6939', 'AS6939', 'AS6939']",cant reverse lookup
Spydar TV,"['""USA"",Spydar TV']",['159.65.251.40'],['NONE'],[],Error,,['AS14061'],['NONE'],[],cant reverse lookup
Stadium,"['""USA"",Stadium']",['52.84.125.172'],['NONE'],"[['23.194.130.136'], ['23.194.130.136'], ['23.194.130.136']]",NONE,no,['AS16509'],['NONE'],"['AS20940', 'AS20940', 'AS20940']","('server-52-84-125-172.iad16.r.cloudfront.net', [], ['52.84.125.172'])"
TBD,"['""USA"",TBD']",['3.19.84.30'],{'35.163.75.191'},"[['192.229.210.181'], ['192.229.210.181'], ['192.229.210.181'], ['192.229.210.181'], ['192.229.210.181'], ['192.229.210.181']]",NONE,yes,['AS16509'],['AS16509'],"['AS15133', 'AS15133', 'AS15133', 'AS15133', 'AS15133', 'AS15133']","('ec2-3-19-84-30.us-east-2.compute.amazonaws.com', [], ['3.19.84.30'])"
TBS,"['""USA"",TBS']",[],['NONE'],[],Error,,[],['NONE'],[],
TLC*,"['""USA"",TLC*']",['80.80.160.168'],{'80.80.160.168'},"[['80.80.160.168'], ['80.80.160.168'], ['80.80.160.168']]",NONE,no,['AS21246'],['AS21246'],"['AS21246', 'AS21246', 'AS21246']",cant reverse lookup
TMZ,"['""USA"",TMZ']",['192.229.163.69'],['NONE'],"[['192.229.163.69', '130.211.30.27', '93.184.215.178'], ['192.229.163.69', '130.211.30.27', '93.184.215.178'], ['192.229.163.69', '130.211.30.27', '93.184.215.178']]",NONE,no,['AS15133'],['NONE'],"['AS15133', 'AS15133', 'AS15133']",cant reverse lookup
Tastemade,"['""USA"",Tastemade']",['23.221.72.48'],['NONE'],"[['52.54.150.237', '23.194.130.145'], ['52.54.150.237', '23.194.130.145'], ['52.54.150.237', '23.194.130.145']]",NONE,no,['AS20940'],['NONE'],"['AS14618', 'AS14618', 'AS14618']","('a23-221-72-48.deploy.static.akamaitechnologies.com', [], ['23.221.72.48'])"
TastyTrade,"['""USA"",TastyTrade']",['23.194.130.155'],['NONE'],"[['23.194.130.155'], ['23.194.130.155'], ['23.194.130.155']]",NONE,no,['AS20940'],['NONE'],"['AS20940', 'AS20940', 'AS20940']","('a23-194-130-155.deploy.static.akamaitechnologies.com', [], ['23.194.130.155'])"
The Asylum,"['""USA"",The Asylum']",['192.229.163.69'],['NONE'],"[['192.229.163.69', '130.211.30.27', '93.184.215.178'], ['192.229.163.69', '130.211.30.27', '93.184.215.178'], ['192.229.163.69', '130.211.30.27', '93.184.215.178']]",NONE,no,['AS15133'],['NONE'],"['AS15133', 'AS15133', 'AS15133']",cant reverse lookup
The Beach Show,"['""USA"",The Beach Show']",['142.54.172.51'],['NONE'],"[['142.54.172.52'], ['142.54.172.52'], ['142.54.172.52']]",NONE,no,['AS33387'],['NONE'],"['AS33387', 'AS33387', 'AS33387']",cant reverse lookup
The Country Network,"['""USA"",The Country Network']",['23.194.130.147'],{'23.194.130.147'},[['23.194.130.147']],NONE,no,['AS20940'],['AS20940'],['AS20940'],"('a23-194-130-147.deploy.static.akamaitechnologies.com', [], ['23.194.130.147'])"
The Outdoor Cooking Channel,"['""USA"",The Outdoor Cooking Channel']",[],['NONE'],[],Error,,[],['NONE'],[],
The Pet Collective,"['""USA"",The Pet Collective']",['192.229.163.69'],['NONE'],"[['192.229.163.69', '130.211.30.27', '93.184.215.178'], ['192.229.163.69', '130.211.30.27', '93.184.215.178'], ['192.229.163.69', '130.211.30.27', '93.184.215.178']]",NONE,no,['AS15133'],['NONE'],"['AS15133', 'AS15133', 'AS15133']",cant reverse lookup
The Weather Channel,"['""USA"",The Weather Channel']",['23.194.130.144'],{'23.194.130.144'},"[['23.194.130.144'], ['23.194.130.144'], ['23.194.130.144'], ['23.194.130.144'], ['23.194.130.144'], ['23.194.130.144'], ['23.194.130.144'], ['23.194.130.144']]",NONE,no,['AS20940'],['AS20940'],"['AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940']","('a23-194-130-144.deploy.static.akamaitechnologies.com', [], ['23.194.130.144'])"
The Works,"['""USA"",The Works']",['23.221.72.42'],['NONE'],"[['23.194.130.147', '52.54.150.237'], ['23.194.130.147', '52.54.150.237'], ['23.194.130.147', '52.54.150.237']]",NONE,no,['AS20940'],['NONE'],"['AS20940', 'AS20940', 'AS20940']","('a23-221-72-42.deploy.static.akamaitechnologies.com', [], ['23.221.72.42'])"
Travel 4U,"['""USA"",Travel 4U']",['66.165.242.218'],{'66.165.242.218'},[['66.165.242.218']],NONE,no,['AS29802'],['AS29802'],['AS29802'],"('66-165-242-218.static.hvvc.us', [], ['66.165.242.218'])"
