,grouptitle,MainM3U8ip,child_m3ips,.ts ips,status,HLS status,ASN_m3u8,ASN_childm3,ASN_ts,HOST_m3u8
NRA TV,"['""USA"",NRA TV']",['52.84.129.22'],['NONE'],[],Error,,['AS16509'],['NONE'],[],"('server-52-84-129-22.iad16.r.cloudfront.net', [], ['52.84.129.22'])"
NewsNet,"['""USA"",NewsNet']",[],['NONE'],[],Error,,[],['NONE'],[],
Newsmax TV,"['""USA"",Newsmax TV']",['23.221.72.16'],{'23.221.72.16'},"[['23.221.72.16'], ['23.221.72.16'], ['23.221.72.16'], ['23.221.72.16'], ['23.221.72.16']]",NONE,no,['AS20940'],['AS20940'],"['AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940']","('a23-221-72-16.deploy.static.akamaitechnologies.com', [], ['23.221.72.16'])"
Newsy,"['""USA"",Newsy']",['3.19.84.30'],{'54.215.230.246'},"[['192.229.210.181'], ['192.229.210.181'], ['192.229.210.181'], ['192.229.210.181'], ['192.229.210.181'], ['192.229.210.181'], ['192.229.210.181']]",NONE,yes,['AS16509'],['AS16509'],"['AS15133', 'AS15133', 'AS15133', 'AS15133', 'AS15133', 'AS15133', 'AS15133']","('ec2-3-19-84-30.us-east-2.compute.amazonaws.com', [], ['3.19.84.30'])"
Nothing Scripted,"['""USA"",Nothing Scripted']",['142.54.172.51'],['NONE'],"[['142.54.172.52'], ['142.54.172.52'], ['142.54.172.52']]",NONE,no,['AS33387'],['NONE'],"['AS33387', 'AS33387', 'AS33387']",cant reverse lookup
Olympic Channel (HD),"['""USA"",Olympic Channel (HD)']",['23.221.72.49'],['NONE'],"[['23.221.72.49'], ['23.221.72.49'], ['23.221.72.49']]",NONE,no,['AS20940'],['NONE'],"['AS20940', 'AS20940', 'AS20940']","('a23-221-72-49.deploy.static.akamaitechnologies.com', [], ['23.221.72.49'])"
Olympic Channel (SD),"['""USA"",Olympic Channel (SD)']",['23.221.72.49'],['NONE'],"[['23.221.72.49'], ['23.221.72.49'], ['23.221.72.49']]",NONE,no,['AS20940'],['NONE'],"['AS20940', 'AS20940', 'AS20940']","('a23-221-72-49.deploy.static.akamaitechnologies.com', [], ['23.221.72.49'])"
Olympic Channel (UHD),"['""USA"",Olympic Channel (UHD)']",['23.221.72.49'],['NONE'],"[['23.221.72.49'], ['23.221.72.49'], ['23.221.72.49']]",NONE,no,['AS20940'],['NONE'],"['AS20940', 'AS20940', 'AS20940']","('a23-221-72-49.deploy.static.akamaitechnologies.com', [], ['23.221.72.49'])"
Out of Focus TV,"['""USA"",Out of Focus TV']",['184.105.131.173'],{'184.105.131.173'},[['184.105.131.173']],NONE,no,['AS6939'],['AS6939'],['AS6939'],"('FMT1-04.VideoCDN.ScaleEngine.net', [], ['184.105.131.173'])"
PAC-12 Arizona,"['""USA"",PAC-12 Arizona']",['151.101.248.68'],{'151.101.248.68'},[],Error,,['AS54113'],['AS54113'],[],cant reverse lookup
PAC-12 Bay Area,"['""USA"",PAC-12 Bay Area']",['151.101.200.68'],{'151.101.200.68'},[],Error,,['AS54113'],['AS54113'],[],cant reverse lookup
PAC-12 Los Angeles,"['""USA"",PAC-12 Los Angeles']",['151.101.248.68'],{'151.101.248.68'},[],Error,,['AS54113'],['AS54113'],[],cant reverse lookup
PAC-12 Mountain,"['""USA"",PAC-12 Mountain']",['151.101.200.68'],{'151.101.200.68'},[],Error,,['AS54113'],['AS54113'],[],cant reverse lookup
PAC-12 National,"['""USA"",PAC-12 National']",['151.101.200.68'],{'151.101.200.68'},[],Error,,['AS54113'],['AS54113'],[],cant reverse lookup
PAC-12 Oregon,"['""USA"",PAC-12 Oregon']",['151.101.248.68'],{'151.101.248.68'},[],Error,,['AS54113'],['AS54113'],[],cant reverse lookup
PAC-12 Washington,"['""USA"",PAC-12 Washington']",['151.101.200.68'],{'151.101.200.68'},[],Error,,['AS54113'],['AS54113'],[],cant reverse lookup
PBS (WPBT) (EST),"['""USA"",PBS (WPBT) (EST)']",['190.80.3.28'],{'190.80.3.26'},"[['190.80.3.26'], ['190.80.3.26']]",NONE,no,['AS19863'],['AS19863'],"['AS19863', 'AS19863']","('nameless.gtt.co.gy', [], ['190.80.3.28'])"
Paramount Network,"['""USA"",Paramount Network']",['104.31.6.163'],['NONE'],[],Error,,['AS13335'],['NONE'],[],cant reverse lookup
Planet Cannabis,"['""USA"",Planet Cannabis']",['66.165.242.218'],{'66.165.242.218'},[['66.165.242.218']],NONE,no,['AS29802'],['AS29802'],['AS29802'],"('66-165-242-218.static.hvvc.us', [], ['66.165.242.218'])"
Planet Green*,"['""USA"",Planet Green*']",['80.80.160.168'],{'80.80.160.168'},"[['80.80.160.168'], ['80.80.160.168'], ['80.80.160.168']]",NONE,no,['AS21246'],['AS21246'],"['AS21246', 'AS21246', 'AS21246']",cant reverse lookup
Pop,"['""USA"",Pop']",['23.194.130.146'],{'23.194.130.146'},"[['23.194.130.146'], ['23.194.130.146'], ['23.194.130.146'], ['23.194.130.146'], ['23.194.130.146']]",NONE,no,['AS20940'],['AS20940'],"['AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940']","('a23-194-130-146.deploy.static.akamaitechnologies.com', [], ['23.194.130.146'])"
QVC (Opt-1),"['""USA"",QVC (Opt-1)']",['69.164.0.128'],{'69.164.0.128'},"[['69.164.0.128'], ['69.164.0.128'], ['69.164.0.128'], ['69.164.0.128'], ['69.164.0.128'], ['69.164.0.128'], ['69.164.0.128']]",NONE,no,['AS22822'],['AS22822'],"['AS22822', 'AS22822', 'AS22822', 'AS22822', 'AS22822', 'AS22822', 'AS22822']","('https-69-164-0-128.iad.llnw.net', [], ['69.164.0.128'])"
QVC (Opt-2),"['""USA"",QVC (Opt-2)']",['69.164.0.128'],{'69.164.0.128'},"[['69.164.0.128'], ['69.164.0.128'], ['69.164.0.128'], ['69.164.0.128'], ['69.164.0.128'], ['69.164.0.128']]",NONE,no,['AS22822'],['AS22822'],"['AS22822', 'AS22822', 'AS22822', 'AS22822', 'AS22822', 'AS22822']","('https-69-164-0-128.iad.llnw.net', [], ['69.164.0.128'])"
QVC 2,"['""USA"",QVC 2']",['69.164.0.128'],{'69.164.0.128'},"[['69.164.0.128'], ['69.164.0.128'], ['69.164.0.128'], ['69.164.0.128'], ['69.164.0.128'], ['69.164.0.128']]",NONE,no,['AS22822'],['AS22822'],"['AS22822', 'AS22822', 'AS22822', 'AS22822', 'AS22822', 'AS22822']","('https-69-164-0-128.iad.llnw.net', [], ['69.164.0.128'])"
