,grouptitle,MainM3U8ip,child_m3ips,.ts ips,status,ASN_m3u8,ASN_childm3,ASN_ts,HLS status,HOST_m3u8
DW (DE),"['""24/7 WORLD NEWS"",DW (DE)']",['23.221.72.9'],{'23.221.72.9'},"[['23.221.72.9'], ['23.221.72.9'], ['23.221.72.9'], ['23.221.72.9'], ['23.221.72.9'], ['23.221.72.9'], ['23.221.72.9'], ['23.221.72.9'], ['23.221.72.9'], ['23.221.72.9'], ['23.221.72.9'], ['23.221.72.9']]",NONE,['AS20940'],['AS20940'],"['AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940']",no,"('a23-221-72-9.deploy.static.akamaitechnologies.com', [], ['23.221.72.9'])"
France 24 (FR),"['""24/7 WORLD NEWS"",France 24 (FR)']",['23.221.72.24'],['NONE'],"[['23.221.72.24'], ['23.221.72.24'], ['23.221.72.24']]",NONE,['AS20940'],['NONE'],"['AS20940', 'AS20940', 'AS20940']",no,"('a23-221-72-24.deploy.static.akamaitechnologies.com', [], ['23.221.72.24'])"
NHK World (JP),"['""24/7 WORLD NEWS"",NHK World (JP)']",['23.221.72.49'],['NONE'],"[['23.221.72.49'], ['23.221.72.49'], ['23.221.72.49']]",NONE,['AS20940'],['NONE'],"['AS20940', 'AS20940', 'AS20940']",no,"('a23-221-72-49.deploy.static.akamaitechnologies.com', [], ['23.221.72.49'])"
RT America (HD) (RU),"['""24/7 WORLD NEWS"",RT America (HD) (RU)']",['67.26.240.30'],['NONE'],"[['8.253.156.40', '67.26.240.30'], ['8.253.156.40', '67.26.240.30'], ['8.253.156.40', '67.26.240.30']]",NONE,['AS3356'],['NONE'],"['AS3356', 'AS3356', 'AS3356']",no,cant reverse lookup
RT America (Opt-1) (RU),"['""24/7 WORLD NEWS"",RT America (Opt-1) (RU)']",['8.253.254.11'],{'8.253.254.11'},"[['8.253.254.11', '8.252.70.11'], ['8.253.254.11'], ['8.253.254.11'], ['8.253.254.11'], ['8.253.254.11']]",NONE,['AS3356'],['AS3356'],"['AS3356', 'AS3356', 'AS3356', 'AS3356', 'AS3356']",no,cant reverse lookup
RT America (Opt-2) (RU),"['""24/7 WORLD NEWS"",RT America (Opt-2) (RU)']",['92.43.140.249'],{'92.43.140.249'},"[['92.43.140.249'], ['92.43.140.249'], ['92.43.140.249']]",NONE,['AS44395'],['AS44395'],"['AS44395', 'AS44395', 'AS44395']",no,"('host-249.140.43.92.ucom.am', [], ['92.43.140.249'])"
RT UK (RU),"['""24/7 WORLD NEWS"",RT UK (RU)']",['8.253.45.168'],{'8.253.45.168'},"[['8.253.45.168', '8.252.69.139'], ['8.253.45.168'], ['8.253.45.168'], ['8.253.45.168'], ['8.253.45.168']]",NONE,['AS3356'],['AS3356'],"['AS3356', 'AS3356', 'AS3356', 'AS3356', 'AS3356']",no,cant reverse lookup
Sky News America (UK),"['""24/7 WORLD NEWS"",Sky News America (UK)']",['99.84.104.120'],['NONE'],"[['99.84.104.26', '99.84.104.120'], ['99.84.104.26', '99.84.104.120'], ['99.84.104.26', '99.84.104.120']]",NONE,['AS16509'],['NONE'],"['AS16509', 'AS16509', 'AS16509']",no,"('server-99-84-104-120.iad79.r.cloudfront.net', [], ['99.84.104.120'])"
TRT World (TR),"['""24/7 WORLD NEWS"",TRT World (TR)']",['208.37.9.49'],{'208.37.9.49'},"[['208.37.9.49'], ['208.37.9.49'], ['208.37.9.49'], ['208.37.9.49']]",NONE,['AS2828'],['AS2828'],"['AS2828', 'AS2828', 'AS2828', 'AS2828']",no,"('w049.z208037009.sjc-ca.dsl.cnc.net', [], ['208.37.9.49'])"
TeleSUR English (VE),"['""24/7 WORLD NEWS"",TeleSUR English (VE)']",['99.84.106.109'],{'99.84.106.109'},"[['99.84.106.109', '99.84.106.65']]",NONE,['AS16509'],['AS16509'],['AS16509'],no,"('server-99-84-106-109.iad79.r.cloudfront.net', [], ['99.84.106.109'])"
i24 News (IL),"['""24/7 WORLD NEWS"",i24 News (IL)']",['23.221.72.24'],['NONE'],"[['23.221.72.24'], ['23.221.72.24'], ['23.221.72.24']]",NONE,['AS20940'],['NONE'],"['AS20940', 'AS20940', 'AS20940']",yes,"('a23-221-72-24.deploy.static.akamaitechnologies.com', [], ['23.221.72.24'])"
~ 24/7 World News ~,"['""LABEL"",~ 24/7 World News ~']",[],['NONE'],[],Error,[],['NONE'],[],,
